CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Year (2),Member ID: Year (2),Notes: Year (2),DIM: Age (9),Member ID: Age (9),Notes: Age (9),DIM: Sex (3),Member ID: Sex (3),Notes: Sex (3),DIM: Income sources and taxes (16),Member ID: Income sources and taxes (16),Notes: Income sources and taxes (16),Dim: Income statistics (5A): Member ID: [1]: Total - Population aged 15 years and over,Dim: Income statistics (5A): Member ID: [2]: With an amount,Dim: Income statistics (5A): Member ID: [3]: Percentage with an amount (%),Dim: Income statistics (5A): Member ID: [4]: Average amount ($) (Note: 19),Dim: Income statistics (5A): Member ID: [5]: Aggregate amount ($'000)
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Private retirement income,7,9,1066150,2870,0.3,15893,45692
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Market income not included elsewhere,8,10,1066150,112690,10.6,7282,820599
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Government transfers,9,11,1066150,657875,61.7,3796,2497013
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,1066150,10,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,1066150,12925,1.2,8667,112015
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Employment Insurance (EI) benefits,12,14,1066150,91605,8.6,7262,665197
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Child benefits,13,15,1066155,243000,22.8,4116,1000086
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Other government transfers,14,16,1066155,471655,44.2,1526,719672
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,After-tax income,15,17,1066150,1055025,99,43120,45493171
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Income taxes,16,18,1066150,822240,77.1,11982,9851939
