TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,9,3,8,34,12XX CARDERO ST,West End,489880.677,5459144.97
Break and Enter Commercial,2020,4,14,0,0,12XX CARDERO ST,West End,489882.3719,5459133.799
Break and Enter Commercial,2020,4,20,20,18,12XX CARDERO ST,West End,489896.0353,5459160.115
Break and Enter Commercial,2020,7,4,4,15,12XX CARDERO ST,West End,489896.0353,5459160.115
Break and Enter Commercial,2020,7,10,12,0,12XX CARDERO ST,West End,489896.0353,5459160.115
Break and Enter Commercial,2020,4,22,0,0,12XX COMOX ST,West End,490414.9988,5458979.438
Break and Enter Commercial,2020,8,29,8,27,12XX COMOX ST,West End,490414.9988,5458979.438
Break and Enter Commercial,2020,5,14,1,24,12XX DAVIE ST,West End,490227.8755,5458858.184
Break and Enter Commercial,2020,9,21,6,38,12XX DAVIE ST,West End,490227.8755,5458858.184
Break and Enter Commercial,2020,10,17,12,35,12XX E 12TH AVE,Mount Pleasant,494336.6728,5456326
Break and Enter Commercial,2020,4,20,19,0,12XX E 7TH AVE,Mount Pleasant,494262.9581,5456839.041
Break and Enter Commercial,2020,3,20,14,7,12XX E HASTINGS ST,Strathcona,494293.8321,5458734.124
Break and Enter Commercial,2020,3,16,5,15,12XX E PENDER ST,Strathcona,494277.9299,5458633.741
Break and Enter Commercial,2020,4,8,1,15,12XX FRANKLIN ST,Strathcona,494270.9585,5458835.27
Break and Enter Commercial,2020,3,22,0,0,12XX GRANVILLE ST,Central Business District,490713.5555,5458170.188
Break and Enter Commercial,2020,8,9,4,21,12XX GRANVILLE ST,Central Business District,490720.1022,5458163.804
Break and Enter Commercial,2020,11,4,9,17,12XX GRANVILLE ST,Central Business District,490792.6231,5458238.175
Break and Enter Commercial,2020,10,9,9,11,12XX HAMILTON ST,Central Business District,490988.745,5457937.963
Break and Enter Commercial,2020,7,17,5,53,12XX HAMILTON ST,Central Business District,491023.1833,5457972.289
Break and Enter Commercial,2020,10,24,6,51,12XX HARO ST,West End,490632.6409,5459230.4
Break and Enter Commercial,2020,9,5,0,0,12XX HARWOOD ST,West End,490134.3732,5458638.113
Break and Enter Commercial,2020,9,8,22,7,12XX HARWOOD ST,West End,490134.3732,5458638.113
Break and Enter Commercial,2020,9,7,2,0,12XX HOMER ST,Central Business District,490935.5704,5457957.133
Break and Enter Commercial,2020,4,28,20,31,12XX HOMER ST,Central Business District,490950.24,5457984.818
Break and Enter Commercial,2020,10,5,22,30,12XX HOMER ST,Central Business District,490958.6993,5457993.311
Break and Enter Commercial,2020,4,9,1,30,12XX HOMER ST,Central Business District,490977.7327,5458012.42
Break and Enter Commercial,2020,9,5,2,6,12XX HOMER ST,Central Business District,491003.1105,5458037.898
Break and Enter Commercial,2020,9,14,7,10,12XX HORNBY ST,Central Business District,490677.7218,5458404.454
Break and Enter Commercial,2020,5,25,16,0,12XX HOWE ST,Central Business District,490670.6282,5458274.695
Break and Enter Commercial,2020,8,3,9,34,12XX HOWE ST,Central Business District,490670.6282,5458274.695
Break and Enter Commercial,2020,8,18,4,48,12XX HOWE ST,Central Business District,490735.2885,5458339.465
Break and Enter Commercial,2020,10,2,18,0,12XX MELVILLE ST,Central Business District,490884.6131,5459551.58
Break and Enter Commercial,2020,8,20,2,29,12XX NANAIMO ST,Grandview-Woodland,495879.7897,5457891.875
Break and Enter Commercial,2020,5,17,13,28,12XX NELSON ST,West End,490461.3512,5459087.382
Break and Enter Commercial,2020,9,30,5,47,12XX NICOLA ST,West End,489885.3864,5458964.539
